service_id,date,exception_type
57,20141104,1
57,20141105,1
57,20141106,1
57,20141107,1
57,20141109,1
57,20141110,1
57,20141111,1
57,20141112,1
57,20141113,1
57,20141114,1
57,20141116,1
57,20141117,1
57,20141118,1
57,20141119,1
57,20141120,1
57,20141121,1
57,20141123,1
57,20141124,1
57,20141125,1
57,20141126,1
57,20141127,1
57,20141128,1
57,20141130,1
57,20141201,1
57,20141202,1
57,20141203,1
57,20141204,1
57,20141205,1
57,20141207,1
57,20141208,1
57,20141209,1
57,20141210,1
57,20141211,1
57,20141212,1
56,20140628,2
56,20140705,2
56,20140712,2
56,20140719,2
56,20140726,2
56,20140802,2
56,20140809,2
56,20140816,2
56,20140823,2
56,20140830,2
56,20140906,2
56,20140908,2
56,20140909,2
56,20140910,2
56,20140911,2
56,20140913,2
56,20140920,2
56,20140927,2
56,20141004,2
56,20141011,2
56,20141018,2
56,20141025,2
56,20141101,2
56,20141108,2
56,20141115,2
56,20141122,2
56,20141129,2
56,20141206,2
56,20141213,2
63,20140629,2
63,20140706,2
63,20140713,2
63,20140719,2
63,20140720,2
63,20140721,2
63,20140722,2
63,20140727,2
63,20140803,2
63,20140810,2
63,20140817,2
63,20140824,2
63,20140831,2
63,20140907,2
63,20140914,2
63,20140921,2
63,20140928,2
63,20140929,2
63,20140930,2
63,20141001,2
63,20141002,2
63,20141005,2
63,20141006,2
63,20141012,2
63,20141019,2
63,20141020,2
63,20141021,2
63,20141022,2
63,20141023,2
63,20141026,2
63,20141102,2
63,20141109,2
63,20141116,2
63,20141123,2
63,20141130,2
63,20141207,2
62,20140629,2
62,20140706,2
62,20140713,2
62,20140719,2
62,20140720,2
62,20140721,2
62,20140727,2
62,20140803,2
62,20140810,2
62,20140817,2
62,20140824,2
62,20140831,2
62,20140907,2
62,20140914,2
62,20140921,2
62,20140928,2
62,20140929,2
62,20140930,2
62,20141001,2
62,20141002,2
62,20141005,2
62,20141006,2
62,20141012,2
62,20141019,2
62,20141020,2
62,20141021,2
62,20141022,2
62,20141023,2
62,20141026,2
62,20141102,2
62,20141109,2
62,20141116,2
62,20141123,2
62,20141130,2
62,20141207,2
61,20140719,2
61,20140720,2
61,20140721,2
61,20140722,2
61,20140929,2
61,20140930,2
61,20141001,2
61,20141002,2
61,20141006,2
61,20141020,2
61,20141021,2
61,20141022,2
61,20141023,2
60,20140719,2
60,20140720,2
60,20140721,2
60,20140722,2
68,20140627,2
