from_stop_id,to_stop_id,transfer_type,min_transfer_time
7401222,7401222,2,
7401223,7401223,2,300
7401225,7401225,2,
7401226,7401226,2,
7401228,7401228,3,
7401230,7401230,2,300
7401231,7401231,3,
7401232,7401232,2,
7401233,7401233,3,
7401234,7401234,3,
7401235,7401235,3,
7401236,7401236,3,
7401237,7401237,3,
7401238,7401238,3,
7401239,7401239,3,
7401240,7401240,2,
7401242,7401242,3,
7401243,7401243,3,
7401246,7401246,3,
7401247,7401247,2,
7401248,7401248,3,
7401249,7401249,2,300
7401250,7401250,3,
7401251,7401251,2,
7401252,7401252,3,
7401253,7401253,2,
7401254,7401254,2,300
7401255,7401255,2,600
7401256,7401256,3,
7401257,7401257,2,
7401258,7401258,2,
7401259,7401259,2,360
7401260,7401260,3,
7401261,7401261,2,300
7401262,7401262,3,
7401264,7401264,3,
7401265,7401265,2,900
7401266,7401266,3,
7401267,7401267,3,
7401268,7401268,2,600
7401269,7401269,3,
7401270,7401270,2,600
7401271,7401271,3,
7401272,7401272,3,
7401273,7401273,3,
7401275,7401275,3,
7401276,7401276,2,
7401277,7401277,2,300
7401278,7401278,2,300
7401279,7401279,2,600
7401280,7401280,3,
7401282,7401282,3,
7401283,7401283,3,
7401284,7401284,3,
7401285,7401285,3,
7401286,7401286,3,
7401287,7401287,2,
7401288,7401288,3,
7401290,7401290,3,
7401291,7401291,2,
7401292,7401292,2,300
7401293,7401293,2,
7401294,7401294,3,
7401297,7401297,3,
7401298,7401298,2,
7401299,7401299,3,
7401300,7401300,3,
7401301,7401301,3,
7401302,7401302,3,
7401303,7401303,2,300
7401305,7401305,3,
7401307,7401307,3,
7401308,7401308,2,
7401309,7401309,2,
7401310,7401310,3,
7401311,7401311,3,
7401312,7401312,2,
7401313,7401313,2,
7401314,7401314,3,
7401315,7401315,2,300
7401316,7401316,3,
7401318,7401318,2,300
7401319,7401319,2,
7401320,7401320,3,
7401321,7401321,3,
7401322,7401322,2,
7401323,7401323,2,
7401324,7401324,3,
7401325,7401325,2,300
7401326,7401326,2,
7401327,7401327,2,300
7401328,7401328,2,
7401329,7401329,2,
7401330,7401330,2,300
7401331,7401331,3,
7401332,7401332,2,
7401333,7401333,2,600
7401334,7401334,2,300
7401335,7401335,3,
7401336,7401336,3,
7401337,7401337,2,300
7401338,7401338,2,300
7401339,7401339,3,
7401340,7401340,3,
7401341,7401341,3,
7401342,7401342,3,
7401345,7401345,2,120
7401346,7401346,2,300
7401347,7401347,2,
7401348,7401348,3,
7401349,7401349,2,
7401350,7401350,3,
7401351,7401351,2,120
7401352,7401352,3,
7401353,7401353,2,300
7401354,7401354,2,300
7401355,7401355,2,300
7401356,7401356,3,
7401357,7401357,3,
7401358,7401358,3,
7401360,7401360,2,
7401361,7401361,3,
7401362,7401362,2,
7401363,7401363,3,
7401366,7401366,3,
7401367,7401367,3,
7401368,7401368,3,
7401369,7401369,3,
7401370,7401370,3,
7401371,7401371,2,300
7401373,7401373,3,
7401374,7401374,2,300
7401376,7401376,3,
7401377,7401377,3,
7401378,7401378,3,
7401379,7401379,3,
7401380,7401380,2,600
7401381,7401381,2,
7401382,7401382,2,60
7401383,7401383,2,
7401385,7401385,2,300
7401387,7401387,2,300
7401388,7401388,3,
7401389,7401389,3,
7401390,7401390,2,
7401391,7401391,3,
